#{"t_start": 1600182218.320713, "env_id": null}
r,l,t
2.0,151,2.062295
4.0,75,2.871421
4.0,142,4.015318
3.0,76,4.720903
2.0,66,5.103111
4.0,103,5.739414
1.0,67,6.160047
2.0,85,6.679173
2.0,142,7.560546
3.0,129,10.267863
2.0,68,14.162461
3.0,69,18.130854
0.0,69,22.245576
2.0,61,25.778463
3.0,70,29.908211
2.0,136,37.894836
2.0,71,42.047516
1.0,119,49.020554
2.0,70,53.04538
1.0,104,59.086828
4.0,101,65.071119
0.0,63,68.863342
4.0,112,75.55482
3.0,111,82.189653
1.0,69,86.249342
3.0,75,90.666354
3.0,61,94.307508
1.0,60,97.829471
3.0,68,101.880799
1.0,69,105.913633
4.0,110,112.50995
4.0,102,118.46596
1.0,69,122.511665
2.0,132,130.383827
2.0,72,134.651851
1.0,60,138.180303
3.0,78,142.702337
3.0,68,146.671201
3.0,68,150.684805
3.0,85,155.706983
3.0,84,160.634285
5.0,102,166.641775
3.0,75,171.077016
1.0,133,178.855817
1.0,69,182.952393
3.0,75,187.348724
2.0,125,194.694536
2.0,68,198.67092
3.0,125,206.133811
1.0,101,212.154981
3.0,74,216.619507
5.0,108,223.112134
2.0,61,226.781631
0.0,79,231.498905
1.0,60,235.099694
2.0,61,238.768852
4.0,79,243.488379
0.0,61,247.126546
2.0,69,251.235017
5.0,109,257.723569
3.0,68,261.798201
3.0,70,265.930544
2.0,115,272.579102
2.0,72,276.789709
5.0,101,282.804928
2.0,68,286.866974
2.0,63,290.590516
4.0,85,295.582333
1.0,60,299.079203
1.0,61,302.58584
3.0,66,306.422494
0.0,80,311.073124
3.0,104,317.074082
2.0,158,326.239287
0.0,89,331.393007
1.0,69,335.398231
2.0,60,338.868472
2.0,74,343.254229
3.0,134,351.07538
3.0,76,355.472666
1.0,60,358.967105
3.0,74,363.317378
1.0,60,366.808384
3.0,68,370.749561
3.0,67,374.701905
7.0,110,381.233466
2.0,60,384.761805
2.0,68,388.701636
1.0,61,392.267328
2.0,68,396.225506
2.0,68,400.25861
3.0,68,404.207185
4.0,76,408.623454
2.0,60,412.107741
3.0,69,416.116041
1.0,68,420.082084
2.0,69,424.104495
2.0,60,427.603384
3.0,76,431.991499
2.0,68,435.947796
3.0,68,439.880495
3.0,69,443.873836
2.0,60,447.368451
2.0,82,452.097307
4.0,106,458.262491
5.0,85,463.180689
3.0,112,469.676104
4.0,80,474.26085
0.0,60,477.698372
3.0,77,482.148245
4.0,72,486.369854
1.0,60,489.854999
2.0,60,493.343679
2.0,71,497.488151
3.0,71,501.545681
2.0,70,505.615112
3.0,103,511.608226
1.0,61,515.155849
5.0,75,519.512873
2.0,77,523.997744
3.0,77,528.458718
2.0,71,532.55125
2.0,63,536.195619
4.0,101,542.042257
1.0,63,545.697434
2.0,76,550.10348
2.0,60,553.548928
1.0,61,557.067709
4.0,103,563.023378
2.0,68,566.956311
3.0,102,572.846465
2.0,86,577.830627
3.0,76,582.22681
4.0,78,586.752072
6.0,102,592.671979
3.0,132,600.292623
1.0,60,603.764585
4.0,75,608.131311
4.0,77,612.58305
3.0,70,616.635571
3.0,77,621.084262
1.0,66,624.840297
4.0,75,629.1918
1.0,70,633.235888
3.0,135,641.075633
2.0,62,644.670463
1.0,110,651.028056
4.0,75,655.368239
5.0,77,659.823093
2.0,62,663.413196
1.0,120,670.362116
4.0,75,674.67632
4.0,75,678.993631
1.0,60,682.447969
2.0,77,686.829391
2.0,63,690.38501
4.0,77,694.753188
1.0,60,698.150835
3.0,110,704.400889
3.0,70,708.385733
1.0,66,712.190999
3.0,132,719.81177
2.0,71,723.914229
2.0,68,727.84466
4.0,75,732.176309
6.0,112,738.635433
3.0,75,742.989439
6.0,104,748.988589
5.0,131,756.57697
1.0,67,760.676688
3.0,120,767.590883
3.0,76,771.962875
1.0,60,775.408
6.0,84,780.248755
6.0,75,784.866474
3.0,72,789.252159
4.0,111,795.61663
4.0,76,799.952779
3.0,75,804.279233
0.0,82,809.026942
3.0,68,812.950316
3.0,83,817.762987
1.0,68,821.68647
4.0,75,826.008431
3.0,102,831.912865
3.0,76,836.290651
5.0,78,840.786784
4.0,96,846.345086
3.0,89,851.474261
1.0,71,855.58604
1.0,68,859.514164
2.0,76,863.884881
5.0,75,868.238629
5.0,133,875.838327
6.0,101,881.5422
2.0,60,884.956477
3.0,77,889.342515
5.0,125,896.533441
4.0,68,900.467746
3.0,79,905.057134
4.0,69,909.040406
3.0,101,914.832062
2.0,92,920.112822
1.0,68,924.033765
2.0,69,928.000773
4.0,85,932.894223
3.0,113,939.439536
4.0,110,945.771023
3.0,74,950.03535
5.0,101,955.856951
4.0,78,960.345746
3.0,71,964.453384
3.0,75,968.866712
3.0,76,973.285606
1.0,62,976.885571
7.0,250,991.383882
5.0,83,996.161868
4.0,128,1003.527714
1.0,75,1007.8229
10.0,250,1022.203934
4.0,108,1028.672344
2.0,68,1032.570312
4.0,109,1038.843323
4.0,75,1043.137991
3.0,75,1047.690956
4.0,137,1055.809524
3.0,123,1062.858305
5.0,131,1070.363819
4.0,78,1074.858844
4.0,75,1079.191047
2.0,75,1083.48316
4.0,78,1087.999488
3.0,68,1091.89343
4.0,79,1096.428219
4.0,102,1102.236642
3.0,75,1106.515033
2.0,67,1110.336173
5.0,101,1116.129065
3.0,76,1120.490818
3.0,62,1124.041616
4.0,78,1128.539377
3.0,75,1132.815523
6.0,125,1139.975728
2.0,69,1143.958572
3.0,78,1148.43335
1.0,60,1151.866416
3.0,108,1158.043021
3.0,70,1162.048048
5.0,110,1168.359417
3.0,69,1172.324303
1.0,85,1177.179715
5.0,109,1183.395247
5.0,78,1188.010106
4.0,114,1198.85828
2.0,78,1203.247791
0.0,69,1207.189777
7.0,176,1217.196043
4.0,69,1221.124164
6.0,241,1234.830018
4.0,102,1240.628396
4.0,101,1246.345425
4.0,78,1250.788284
7.0,150,1259.324576
4.0,75,1263.590118
4.0,75,1267.840403
3.0,77,1272.203004
3.0,132,1279.90168
5.0,127,1287.125336
4.0,128,1294.414697
3.0,68,1298.305466
3.0,68,1302.171167
4.0,103,1308.082118
1.0,75,1316.699566
4.0,128,1323.960806
3.0,77,1328.328957
3.0,69,1332.244011
2.0,82,1336.873219
4.0,77,1341.227474
4.0,111,1347.502543
1.0,75,1351.726248
4.0,128,1358.971919
2.0,78,1363.371628
4.0,117,1370.020534
5.0,128,1377.273528
3.0,127,1384.455964
3.0,96,1389.780195
4.0,77,1394.142405
5.0,76,1398.445953
2.0,69,1402.308217
4.0,76,1406.58224
2.0,63,1410.14412
2.0,68,1414.030345
3.0,69,1417.915942
5.0,86,1422.719521
5.0,133,1430.161322
2.0,67,1433.920195
1.0,68,1437.743436
2.0,71,1441.748377
3.0,68,1445.562059
1.0,68,1449.378993
4.0,101,1455.051465
3.0,101,1460.723219
3.0,69,1464.609376
4.0,138,1472.420323
5.0,101,1478.104046
4.0,130,1485.405183
3.0,68,1489.230476
9.0,163,1498.513706
2.0,66,1502.200925
4.0,79,1506.641536
7.0,151,1515.111409
1.0,63,1518.636206
4.0,77,1522.940419
2.0,61,1526.385064
4.0,125,1533.391575
4.0,79,1537.828185
3.0,60,1541.180774
2.0,68,1544.962183
5.0,87,1549.831414
2.0,66,1553.513165
4.0,75,1557.699337
2.0,75,1561.913482
3.0,60,1565.307282
4.0,70,1569.21029
3.0,69,1573.079232
4.0,101,1578.723571
4.0,85,1583.461736
2.0,75,1587.657956
2.0,68,1591.480635
2.0,70,1595.376942
2.0,70,1599.300674
3.0,75,1603.472504
3.0,77,1607.764893
3.0,70,1611.680158
7.0,107,1617.640322
4.0,104,1623.445193
4.0,111,1629.693376
4.0,112,1635.948148
3.0,93,1641.14046
4.0,124,1648.079501
3.0,75,1652.262186
1.0,62,1655.748068
4.0,99,1661.214914
4.0,101,1666.832484
4.0,114,1673.316801
4.0,103,1679.120492
2.0,70,1683.081028
4.0,77,1687.516658
3.0,132,1695.139704
2.0,60,1702.936957
2.0,60,1706.306869
2.0,61,1709.721216
3.0,69,1713.59714
6.0,76,1717.896301
1.0,62,1721.453615
4.0,75,1725.671836
2.0,62,1729.163512
3.0,75,1733.41213
7.0,168,1742.974079
4.0,111,1749.275459
4.0,133,1756.959611
3.0,87,1762.033413
3.0,141,1774.448253
3.0,75,1778.722456
3.0,68,1782.614962
4.0,108,1788.866483
3.0,137,1796.880814
5.0,75,1801.262992
4.0,136,1809.222192
3.0,111,1815.723089
3.0,107,1822.002448
6.0,75,1826.35309
3.0,87,1831.437359
3.0,74,1835.791233
1.0,66,1839.63457
2.0,70,1843.72082
4.0,106,1849.933603
5.0,103,1855.90982
3.0,75,1860.281462
2.0,76,1864.727175
2.0,136,1872.643086
3.0,77,1877.132713
1.0,65,1880.920396
1.0,79,1885.511628
4.0,75,1889.894563
5.0,125,1897.174318
5.0,104,1907.477772
3.0,61,1911.018281
3.0,75,1915.388969
3.0,108,1921.65137
2.0,64,1925.406498
1.0,82,1930.180764
1.0,61,1933.743582
5.0,126,1941.114143
4.0,77,1945.626421
3.0,79,1950.237604
4.0,79,1954.845597
7.0,162,1964.31085
4.0,134,1972.104772
4.0,115,1978.801827
4.0,78,1983.311375
5.0,108,1989.651703
3.0,112,1996.199083
5.0,101,2002.084491
3.0,93,2007.551424
4.0,128,2015.047398
3.0,78,2019.584777
3.0,115,2026.284191
2.0,74,2030.63202
2.0,68,2034.609049
3.0,77,2039.12144
9.0,176,2049.436285
4.0,79,2054.064792
4.0,109,2060.396769
4.0,108,2066.561292
3.0,127,2073.79746
6.0,113,2080.34724
4.0,108,2086.622302
3.0,63,2090.293056
3.0,80,2094.94891
2.0,61,2098.507465
4.0,78,2103.046562
6.0,114,2109.676225
4.0,107,2115.915794
4.0,133,2123.668744
5.0,109,2130.011737
4.0,110,2136.394939
4.0,70,2140.475042
4.0,105,2146.590006
5.0,76,2151.046714
3.0,102,2156.994777
5.0,131,2164.668414
2.0,66,2168.52621
3.0,71,2172.746198
4.0,77,2177.249233
4.0,110,2183.65916
5.0,104,2189.703203
5.0,101,2209.782062
2.0,75,2214.169275
4.0,107,2220.4536
3.0,77,2224.956073
1.0,68,2228.923723
3.0,77,2233.450297
3.0,135,2241.325933
2.0,62,2244.929984
4.0,75,2249.321494
5.0,103,2255.332659
3.0,70,2259.425717
3.0,76,2263.893392
3.0,77,2268.432443
5.0,139,2276.568591
5.0,103,2282.593667
3.0,107,2288.88883
7.0,225,2302.085947
3.0,91,2307.340376
4.0,105,2313.439732
5.0,110,2319.881367
4.0,110,2326.301163
4.0,104,2332.3583
4.0,135,2340.232047
2.0,66,2344.09514
2.0,61,2347.652838
4.0,142,2355.915996
3.0,71,2360.032853
3.0,63,2363.696493
4.0,107,2369.923932
3.0,102,2375.866517
2.0,97,2381.495191
6.0,114,2388.124269
3.0,135,2395.943721
3.0,83,2400.77385
5.0,132,2408.448025
4.0,105,2414.552289
2.0,61,2418.091902
4.0,143,2426.395935
5.0,103,2432.385807
1.0,60,2435.892289
2.0,76,2440.320791
5.0,110,2446.68953
5.0,197,2458.152926
2.0,82,2462.921625
6.0,101,2468.831973
3.0,68,2472.784646
3.0,128,2480.23838
3.0,69,2484.25231
5.0,108,2490.553347
4.0,110,2496.947104
2.0,68,2500.88577
4.0,77,2505.349428
5.0,133,2513.085409
2.0,93,2518.513896
5.0,111,2524.993399
5.0,108,2531.295883
6.0,101,2537.182083
3.0,75,2541.578507
3.0,63,2545.244545
3.0,61,2548.805302
4.0,126,2556.164675
4.0,70,2560.243639
5.0,101,2566.12326
4.0,75,2570.479733
6.0,110,2576.858918
4.0,108,2583.166336
4.0,125,2590.461005
4.0,141,2598.655326
4.0,133,2606.43606
3.0,70,2610.540667
3.0,70,2614.728419
2.0,71,2619.925794
4.0,75,2625.071274
4.0,95,2630.704063
4.0,103,2636.682675
3.0,70,2640.758694
4.0,79,2645.507779
1.0,60,2649.037911
2.0,60,2652.587263
4.0,69,2656.596019
2.0,60,2660.115592
4.0,128,2667.603828
4.0,76,2672.040104
6.0,126,2679.398021
6.0,107,2685.640151
3.0,64,2689.363038
2.0,60,2692.859132
4.0,107,2699.106572
5.0,127,2706.509209
5.0,78,2711.072933
5.0,89,2716.247265
2.0,62,2719.857779
4.0,103,2725.845819
1.0,61,2729.408413
4.0,77,2733.888667
4.0,75,2738.266671
2.0,75,2746.81922
3.0,69,2750.857596
5.0,107,2757.11268
6.0,101,2763.030896
6.0,142,2771.360584
6.0,123,2778.543497
1.0,61,2782.101757
4.0,68,2786.040748
12.0,452,2816.766218
5.0,79,2821.605129
4.0,75,2826.274507
4.0,123,2833.746411
4.0,108,2840.308343
4.0,68,2844.269809
5.0,101,2850.155373
3.0,68,2854.127062
5.0,89,2859.325313
3.0,83,2864.133996
4.0,88,2869.224701
5.0,101,2875.112588
6.0,113,2881.683127
5.0,77,2886.172264
4.0,78,2890.70053
4.0,79,2899.508105
4.0,78,2904.063542
3.0,101,2909.884439
4.0,117,2916.726554
6.0,101,2922.601001
4.0,101,2928.494438
3.0,105,2934.616047
2.0,68,2938.593338
3.0,101,2948.80151
4.0,104,2954.864579
2.0,93,2960.316811
5.0,102,2966.275422
4.0,132,2973.960138
3.0,63,2977.653604
4.0,118,2984.51922
3.0,77,2989.013289
4.0,107,2995.259381
5.0,84,3000.147749
1.0,67,3004.069907
5.0,130,3011.635733
5.0,143,3019.986245
2.0,92,3025.335223
5.0,101,3031.210342
3.0,123,3038.39121
4.0,79,3042.995109
2.0,61,3046.55438
2.0,77,3051.04187
5.0,101,3056.933151
4.0,123,3078.286443
4.0,108,3084.559579
4.0,139,3092.680443
3.0,68,3096.625443
10.0,226,3109.747229
6.0,87,3114.795053
1.0,63,3118.479187
3.0,78,3123.008922
6.0,151,3131.803392
4.0,82,3136.580346
3.0,77,3141.056563
5.0,106,3147.247471
5.0,101,3153.092549
10.0,225,3166.217344
3.0,107,3172.438732
3.0,115,3179.136071
2.0,69,3183.149152
2.0,62,3186.756099
4.0,68,3190.732717
1.0,63,3194.395049
3.0,83,3199.200788
1.0,62,3202.803731
5.0,115,3209.510054
5.0,107,3215.747942
4.0,104,3221.812762
2.0,75,3226.160362
4.0,107,3232.386759
1.0,62,3235.985499
3.0,78,3240.510296
5.0,101,3246.39068
3.0,61,3249.952247
3.0,63,3253.637758
4.0,76,3258.042171
3.0,68,3262.009403
4.0,114,3268.65257
5.0,86,3273.65775
4.0,101,3279.532998
5.0,111,3285.993493
7.0,153,3294.905493
2.0,61,3298.454745
4.0,96,3316.871229
2.0,77,3321.470446
4.0,79,3326.115567
4.0,109,3332.522591
0.0,71,3336.702881
5.0,76,3341.161309
3.0,75,3345.467337
5.0,123,3352.58189
2.0,63,3356.216911
